Polarity,Time(min),mz,Area,Identification,mz Identification,MS/MS Sampled,Identified Lipid Feature,Redundant ID
+,0.773,425.13736,34210.81047,,,false,false,,
+,0.773,443.31668,10949.80621,,,false,false,,
+,0.773,518.28802,5753.046628,,,false,false,,
+,0.773,586.35248,3574.437503,,,false,false,,
+,0.774,384.27435,12761.26866,,,false,false,,
+,0.775,249.18501,14460.57853,,,false,false,,
+,0.775,526.29333,7798.24545,,,false,false,,
+,0.775,546.32074,5950.259367,,,false,false,,
+,0.775,215.14322,2767.157616,,,false,false,,
+,0.777,479.35944,17257.34035,,,false,false,,
+,0.777,383.2565,8207.149165,,,false,false,,
+,0.777,231.13774,7234.484417,,,false,false,,
+,0.779,570.91687,8930.843386,,,false,false,,
+,0.779,203.10632,3384.193366,,,false,false,,
+,0.78,240.23215,12653.54967,,,false,false,,
+,0.78,560.33453,9410.038373,,,false,false,,
+,0.78,558.28217,4587.611092,,,false,false,,
+,0.781,287.20056,3638.144408,,,false,false,,
+,0.782,534.88617,15938.77388,,,false,false,,
+,0.784,361.23569,21084.60845,,,false,false,,
+,0.784,590.47491,14919.94494,,,false,false,,
+,0.785,387.17941,63116.05636,,,false,false,,
+,0.785,574.91162,15122.71442,,,false,false,,
-,0.786,387.21805,16948.81654,,,false,false,,
+,0.786,445.23294,92408.8683,,,true,false,,
+,0.786,386.21274,7305.476974,,,false,false,,
+,0.787,273.0907,51642.42865,,,false,false,,
+,0.789,328.15976,35263.76286,,,false,false,,
+,0.79,277.19101,69138.78238,,,true,false,,
+,0.79,654.45453,16129.54761,,,false,false,,
-,0.791,355.22778,86146.995,,,true,false,,
+,0.792,326.16257,158051.1838,,,true,false,,
+,0.793,334.23764,5119.635623,,,false,false,,
-,0.796,532.23254,31296.70197,,,false,false,,
+,0.796,615.54333,44528.7931,,,false,false,,
+,0.796,496.26752,43872.0982,,,true,false,,
-,0.797,399.21793,160030.1634,,,true,false,,
-,0.799,534.22852,7785.022836,,,false,false,,
+,0.8,509.3223,22603.95583,,,false,false,,
-,0.806,297.1528,771813.46,,,false,false,,
+,0.806,442.31317,41204.29096,,,false,false,,
-,0.808,643.28949,45058.97785,LysoPI 22:6,,false,false,false,
+,0.818,386.25272,105857.7341,,,false,false,,
-,0.819,568.26825,151308.2164,,,true,false,,
-,0.82,619.28906,1414812.202,LysoPI 20:4,,true,true,false,
+,0.821,570.28204,163935.196,,,false,false,,
+,0.824,621.30292,206966.0635,,,false,false,,
+,0.825,361.27325,700131.4882,,,true,false,,
-,0.826,446.23141,170802.1861,,,true,false,,
-,0.827,223.02779,338502.5491,,,true,false,,
-,0.827,548.29883,110926.1962,,,false,false,,
+,0.827,490.29208,493415.6654,,,false,false,,
+,0.827,603.29242,207355.7398,,,false,false,,
+,0.828,448.24509,188952.7287,,,false,false,,
+,0.831,303.19492,142563.9044,,,false,false,,
-,0.835,435.27496,1248021.753,,,true,false,,
-,0.835,544.26813,86159.28352,,,false,false,,
+,0.835,459.27084,187977.8789,,,false,false,,
-,0.836,809.5199,83810.42341,,,false,false,,
-,0.836,516.27325,39372.08773,,,false,false,,
+,0.836,546.2821,88536.60951,,,false,false,,
+,0.841,376.12009,280382.6542,,,false,false,,
-,0.85,524.29944,125465.7529,LysoPC 14:1,,true,true,true,
-,0.851,450.26144,33236.50717,,,false,false,,
+,0.851,466.29181,591399.5214,LysoPC 14:1,,true,true,false,
+,0.861,421.31656,2210008.405,,,true,false,,
-,0.862,1160.72534,56557.48716,,,false,false,,
-,0.862,1161.72791,28912.89054,,,false,false,,
+,0.867,398.2403,4458449.096,,,true,false,,
+,0.867,461.3476,2151346.247,,,true,false,,
+,0.869,789.46637,1949803.295,,,true,false,,
-,0.87,412.21808,591396.0687,,,true,false,,
+,0.87,376.25867,2.695481738E8,,,true,false,,
+,0.87,414.21429,3598574.12,,,true,false,,
+,0.872,768.53717,1.391455529E7,,,true,false,,
+,0.873,751.51074,1.075883406E7,,,true,false,,
+,0.874,773.49304,7241787.674,,,true,false,,
+,0.876,1143.78979,166506.0194,,,false,false,,
+,0.878,449.34741,297282.8886,,,true,false,,
+,0.88,809.56458,280579.6351,,,false,false,,
+,0.88,475.36343,278678.6061,,,false,false,,
-,0.882,410.22144,2679727.985,,,true,false,,
-,0.885,374.2449,6.902210331E7,,,true,false,,
+,0.887,376.12579,709194.9606,,,true,false,,
+,0.887,477.37976,685534.9815,,,true,false,,
-,0.888,374.37909,89785.96704,,,true,false,,
-,0.89,374.11041,102688.1516,,,true,false,,
-,0.89,686.42157,245208.1114,,,true,false,,
+,0.89,434.31195,2.555179621E7,,,true,false,,
+,0.89,376.39435,784206.9977,,,true,false,,
+,0.894,393.28519,2.334913577E7,,,false,false,,
-,0.895,311.16873,2937388.522,,,false,false,,
-,0.895,785.47437,571182.1549,,,true,false,,
-,0.9,749.49768,294594.967,,,true,false,,
+,0.901,416.21118,275151.7346,,,true,false,,
-,0.903,555.27271,369796.0042,LysoPG 22:6,,true,true,false,
+,0.903,463.36365,2248644.782,,,true,false,,
+,0.904,296.21173,205819.7484,,,true,false,,
-,0.909,445.19968,290975.7624,,,true,false,,
-,0.921,355.16748,82758.16247,,,true,false,,
-,0.931,374.36981,43645.48416,,,false,false,,
-,0.932,546.28387,58108.13553,,,false,false,,
+,0.942,387.19223,483141.4314,,,true,false,,
-,0.948,421.15527,121281.153,,,true,false,,
+,0.956,999.54626,254472.8793,,,false,false,,
+,0.959,445.24567,413282.9726,,,true,false,,
+,0.961,636.2005,57748.25945,,,false,false,,
-,0.962,965.56384,83522.968,,,false,false,,
-,0.962,1039.58069,42972.86568,,,false,false,,
-,0.963,498.26291,5451269.454,LysoPE 20:5,,true,true,true,
+,0.963,359.2576,1231842.849,,,true,false,,
-,0.964,448.24704,404804.1613,,,true,false,,
-,0.964,997.5332,119660.9939,,,false,false,,
-,0.964,476.27832,127255.9684,,,false,false,,
+,0.964,450.26093,530310.5867,,,true,false,,
-,0.965,600.33118,806638.5489,LysoPC 20:5,,true,true,true,
-,0.965,550.31549,514882.3723,,,true,false,,
-,0.965,596.24066,46678.59091,,,false,false,,
+,0.965,500.27661,7578069.744,LysoPE 20:5,,true,true,false,
+,0.965,285.24213,121091.6608,,,false,false,,
+,0.965,572.29773,52004.2079,,,false,false,,
-,0.966,301.21725,122323.6632,,,false,false,,
-,0.966,580.2666,63587.99408,,,false,false,,
-,0.966,1057.55457,15207.91672,,,false,false,,
+,0.966,472.24207,109109.2519,,,false,false,,
+,0.966,565.45428,87843.18274,,,false,false,,
-,0.967,424.24725,139871.2274,LysoPE 14:0,,true,true,false,
-,0.967,315.25394,50230.05711,,,false,false,,
-,0.967,618.22198,35384.24807,,,false,false,,
+,0.967,967.5791,55567.67501,,,false,false,,
+,0.968,522.25903,349511.8138,,,true,false,,
+,0.968,426.26114,149979.5068,,,false,false,,
+,0.968,309.2421,223310.3227,,,false,false,,
+,0.968,564.30573,212607.5693,,,false,false,,
+,0.968,580.27948,126026.553,,,false,false,,
+,0.968,713.61652,42999.49023,,,false,false,,
+,0.969,542.32385,4342190.039,LysoPC 20:5,,true,true,false,
+,0.969,506.26425,196702.1004,,,false,false,,
+,0.969,482.26599,64172.31631,,,false,false,,
+,0.969,651.52802,41897.60595,,,false,false,,
-,0.97,508.26764,154915.9325,,,true,false,,
-,0.97,656.25238,54848.36121,,,false,false,,
+,0.97,492.30841,3397249.789,,,true,false,,
+,0.97,530.2641,87066.40703,,,false,false,,
-,0.971,598.18842,385086.1003,,,true,false,,
-,0.971,452.27835,334203.0215,,,true,false,,
+,0.972,538.22992,140177.6793,,,false,false,,
+,0.972,935.60901,75835.07275,,,false,false,,
+,0.972,1033.6261,41338.417,,,false,false,,
-,0.973,538.31555,53932.42229,,,false,false,,
+,0.973,1009.62457,98671.78074,,,false,false,,
+,0.974,514.29004,156804.8696,,,false,false,,
-,0.976,526.31494,1102188.191,LysoPC 14:0,,true,true,true,
+,0.977,468.3082,7594257.169,LysoPC 14:0,,true,true,false,
+,0.977,490.29019,367317.8531,,,true,false,,
+,0.978,512.3349,44109.50832,,,false,false,,
+,0.979,480.30832,279314.5974,LysoPC 15:1,,false,false,false,
+,0.979,600.37708,51590.60874,,,false,false,,
+,0.98,450.29749,49502.5542,,,false,false,,
+,0.981,426.31836,206363.3441,,,false,false,,
+,0.982,1059.56873,20058.20356,,,false,false,,
+,0.984,363.28922,89016.91373,,,false,false,,
-,0.986,320.1615,912232.3165,,,true,false,,
-,0.989,621.30505,258022.1794,LysoPI 20:3,,false,false,false,
-,0.989,435.25189,18373.55821,,,false,false,,
-,0.99,570.28296,101688.8993,,,false,false,,
+,0.99,605.30859,16644.91625,,,false,false,,
+,0.992,555.29242,55450.43845,,,false,false,,
+,0.994,322.17566,182943.4561,,,false,false,,
+,0.994,390.27469,245748.0482,,,false,false,,
-,0.995,388.26083,60117.05191,,,false,false,,
+,0.997,698.47845,38936.65808,,,false,false,,
+,0.997,274.27371,24292.79147,,,false,false,,
+,0.998,448.32773,81397.24374,,,false,false,,
+,0.999,578.27197,23967.85796,,,false,false,,
-,1.001,596.30005,37790.26261,,,false,false,,
+,1.001,985.62177,20318.36652,,,false,false,,
-,1.004,313.21741,129696.3035,,,true,false,,
+,1.012,789.38025,36421.69719,,,false,false,,
+,1.012,534.88739,20919.03299,,,false,false,,
+,1.016,592.32458,20686.87855,,,false,false,,
-,1.017,522.28375,594599.9803,,,true,false,,
-,1.018,582.28455,1029076.133,,,true,false,,
-,1.018,574.18842,34186.00911,,,false,false,,
+,1.019,230.1402,24788.07811,,,false,false,,
+,1.02,518.32391,1389418.703,LysoPC 18:3,,true,true,false,
+,1.02,335.25763,140703.3404,,,false,false,,
-,1.021,576.3313,210378.1454,LysoPC 18:3,,true,true,true,
+,1.021,524.29852,564362.5501,,,true,false,,
+,1.021,339.28915,339314.2927,,,true,false,,
+,1.021,699.47717,29317.68082,,,false,false,,
+,1.022,565.27917,45060.74432,,,false,false,,
+,1.022,566.28943,42726.4175,,,false,false,,
-,1.023,682.20947,270011.9748,,,true,false,,
+,1.023,584.29858,115391.6638,,,false,false,,
-,1.026,325.18436,1742393.454,,,false,false,,
-,1.026,359.22296,18785.24622,,,false,false,,
+,1.026,642.35187,159608.1807,,,false,false,,
-,1.027,502.29367,38636.337,,,false,false,,
+,1.027,476.27734,586986.4995,LysoPE 18:3,,true,true,false,
+,1.028,581.44995,19417.4599,,,false,false,,
+,1.029,540.30597,60606.03661,,,false,false,,
+,1.032,412.2171,42102.21249,,,false,false,,
+,1.033,498.25888,31141.70773,,,false,false,,
-,1.034,474.26273,419666.2842,,,true,false,,
+,1.036,348.32565,34449.78801,,,false,false,,
+,1.038,537.34528,39325.88134,,,false,false,,
+,1.038,657.4306,23388.66629,,,false,false,,
-,1.039,647.32104,58178.47507,LysoPI 22:4,,false,false,false,
+,1.044,571.47827,26328.76179,,,false,false,,
-,1.045,331.26691,3732.764744,,,false,false,,
+,1.046,488.27756,44686.13536,,,false,false,,
+,1.046,389.30441,40349.63806,,,false,false,,
+,1.046,458.26556,8746.112357,,,false,false,,
-,1.048,486.26224,32545.69602,,,false,false,,
-,1.049,462.26321,21794.13381,,,false,false,,
+,1.053,464.27661,25283.54798,,,false,false,,
-,1.054,656.2157,41166.25374,,,false,false,,
+,1.055,560.29834,266174.7662,,,true,false,,
+,1.055,574.31427,86644.63488,,,false,false,,
-,1.056,558.284,1916971.156,,,true,false,,
-,1.056,658.2099,868898.8077,,,true,false,,
+,1.057,618.35138,558104.4798,,,true,false,,
+,1.057,582.28021,152182.9577,,,false,false,,
+,1.057,460.41187,134492.5984,,,false,false,,
+,1.057,542.28778,132551.6353,,,false,false,,
+,1.057,598.25287,67310.07975,,,false,false,,
+,1.057,530.32434,53183.36493,,,false,false,,
+,1.057,586.31384,42467.53403,,,false,false,,
-,1.059,481.23703,15995.68836,,,false,false,,
-,1.06,457.23666,17851.88189,,,false,false,,
-,1.061,557.28912,1029410.02,,,false,false,,
+,1.061,599.54828,1254502.49,,,true,false,,
-,1.062,343.22775,22745.13398,,,false,false,,
+,1.064,470.27234,18553.20924,,,false,false,,
-,1.065,572.29956,138080.0116,,,false,false,,
+,1.067,410.22034,110743.1166,,,false,false,,
+,1.067,961.62573,46613.54856,,,false,false,,
+,1.068,506.32379,115410.6256,LysoPC 17:2,,false,false,false,
+,1.069,486.42795,44293.0659,,,false,false,,
+,1.069,396.31006,42888.56512,,,false,false,,
+,1.069,1035.63696,17155.7973,,,false,false,,
-,1.07,532.26593,35294.113,,,false,false,,
-,1.07,548.24066,22471.48229,,,false,false,,
+,1.07,452.27689,3916067.009,LysoPE 16:1,,true,true,false,
-,1.071,608.25189,22037.69636,,,false,false,,
+,1.071,925.53137,23997.68241,,,false,false,,
+,1.072,474.25894,211287.0195,,,false,false,,
+,1.072,570.31873,43323.06377,,,false,false,,
+,1.072,713.49237,37355.5122,,,false,false,,
+,1.073,446.32626,103974.2655,AC 20:5,,false,false,false,
+,1.073,903.54706,87474.72825,,,false,false,,
+,1.073,1011.63885,28185.83133,,,false,false,,
-,1.075,450.26288,3566890.68,LysoPE 16:1,,true,true,true,
+,1.075,510.33038,17246.49692,,,false,false,,
-,1.076,305.15076,56103.45744,,,false,false,,
+,1.076,434.26706,55485.60751,,,false,false,,
-,1.077,318.14578,40451.14876,,,false,false,,
+,1.077,311.25763,2021759.123,,,true,false,,
-,1.078,354.12247,178670.2648,,,true,false,,
-,1.08,943.57977,97791.92824,,,true,false,,
+,1.08,280.26309,31851.85263,,,false,false,,
+,1.081,598.31079,27520.29694,,,false,false,,
+,1.083,581.30829,73688.17888,,,false,false,,
-,1.084,253.21747,249058.4226,,,false,false,,
-,1.084,597.30511,200980.162,LysoPI 18:1,,true,true,false,
-,1.084,590.2868,66179.61281,,,false,false,,
-,1.084,534.28394,88759.59783,,,false,false,,
+,1.084,592.29199,95186.46202,,,false,false,,
+,1.086,356.13675,85632.14464,,,false,false,,
+,1.086,945.59369,67762.11555,,,false,false,,
-,1.087,552.30945,1254097.279,,,false,false,,
-,1.088,550.18848,352129.7046,,,true,false,,
+,1.088,392.25403,431333.9103,,,false,false,,
+,1.089,372.31049,491592.4452,AC 14:0,,true,true,false,
+,1.09,430.20837,19586.61601,,,false,false,,
+,1.092,516.30579,1039435.048,,,true,false,,
+,1.093,532.27991,576244.3737,,,true,false,,
-,1.094,552.33118,3587482.923,LysoPC 16:1,,true,true,true,
-,1.094,478.29391,845438.6941,,,true,false,,
+,1.095,546.32092,24296.28608,,,false,false,,
-,1.096,390.23978,339265.3391,,,true,false,,
+,1.098,494.12021,70498.07162,,,false,false,,
+,1.099,476.31262,153068.1439,,,false,false,,
+,1.101,987.64056,758550.4608,,,true,false,,
+,1.101,520.30414,51235.42952,,,false,false,,
+,1.102,552.37714,223573.6234,,,false,false,,
+,1.103,494.32376,2.794765259E7,LysoPC 16:1,,true,true,false,
+,1.107,450.30737,302462.9351,,,false,false,,
+,1.112,629.43439,61558.94492,,,false,false,,
+,1.112,1041.59094,59221.57718,,,false,false,,
-,1.114,975.54803,169923.4146,,,false,false,,
-,1.115,1017.59576,352153.1156,,,true,false,,
-,1.115,271.22791,147103.3044,,,false,false,,
+,1.115,1019.60889,327447.6373,,,false,false,,
+,1.116,1061.65576,917457.5471,,,true,false,,
+,1.116,590.32117,772223.1631,,,true,false,,
+,1.117,586.31329,51782.05294,,,false,false,,
+,1.117,626.39252,507367.8742,,,false,false,,
+,1.117,606.29541,491495.2505,,,false,false,,
-,1.119,1091.61072,463760.1016,,,true,false,,
+,1.119,1053.58447,319035.0223,,,false,false,,
-,1.12,1049.56421,1901846.768,,,true,false,,
+,1.12,1049.55847,1956854.076,,,false,false,,
+,1.12,564.24744,320119.9989,,,false,false,,
-,1.121,684.22559,76316.34645,,,false,false,,
+,1.121,1093.62512,427330.1499,,,false,false,,
+,1.121,548.27466,728285.3324,,,true,false,,
-,1.122,1047.54773,1630194.309,,,false,false,,
+,1.123,1051.57751,2239058.861,,,true,false,,
+,1.124,1135.67151,679915.5939,,,false,false,,
-,1.125,624.2038,2613920.339,,,true,false,,
+,1.126,385.2731,4526390.177,,,true,false,,
-,1.127,584.29962,1249563.677,,,true,false,,
+,1.128,526.29242,3.69883117E7,LysoPE 22:6,,true,true,false,
-,1.129,327.23285,547605.962,,,false,false,,
+,1.129,550.3277,85932.84605,,,false,false,,
-,1.13,524.27838,3.25441923E7,LysoPE 22:6,,true,true,true,
-,1.131,626.34668,3675814.087,LysoPC 22:6,,true,true,true,
+,1.132,568.33948,2.800791513E7,LysoPC 22:6,,true,true,false,
+,1.134,508.2818,137231.0325,,,false,false,,
-,1.153,540.33032,165609.7282,,,false,false,,
+,1.154,1037.65601,1444772.53,,,false,false,,
+,1.154,953.56207,150534.126,,,false,false,,
-,1.156,1023.54651,1582652.517,,,false,false,,
+,1.157,1025.55933,4759200.379,,,false,false,,
+,1.158,1069.62488,1289714.68,,,true,false,,
+,1.158,482.32394,1553018.066,LysoPC 15:0,,true,true,false,
+,1.158,995.60876,288419.7685,,,false,false,,
-,1.159,1025.56433,3993512.769,,,true,false,,
-,1.16,1527.85388,66673.02251,,,false,false,,
+,1.16,1067.60486,629318.9816,,,false,false,,
-,1.161,1067.61072,1206360.367,,,true,false,,
-,1.161,993.59631,346299.2598,,,false,false,,
-,1.161,951.54791,127841.2707,,,false,false,,
-,1.161,1526.84485,84569.47998,,,false,false,,
-,1.164,509.2886,504651.5216,LysoPG 18:1,,true,true,false,
+,1.164,1109.65173,2285029.572,,,false,false,,
-,1.165,1568.89526,171824.6606,,,false,false,,
+,1.165,1091.60522,75452.46426,,,false,false,,
+,1.167,1025.65332,220641.7851,,,false,false,,
+,1.169,324.24271,1624478.8,,,true,false,,
+,1.172,269.22601,236250.6343,,,false,false,,
+,1.173,361.27325,1.485210195E7,,,true,false,,
+,1.174,544.1142,186206.3038,,,false,false,,
-,1.176,500.27866,8.263072756E7,LysoPE 20:4,,true,true,true,
+,1.177,502.29245,8.877225848E7,LysoPE 20:4,,true,true,false,
+,1.177,502.09122,228037.7155,,,false,false,,
-,1.181,303.23322,2516125.325,,,false,false,,
-,1.181,598.25507,278686.0921,,,false,false,,
+,1.181,560.34558,230883.2929,,,false,false,,
-,1.182,1502.84949,255211.9225,,,false,false,,
-,1.183,1001.56421,1.061753649E7,,,true,false,,
+,1.183,544.33911,8.88047099E7,LysoPC 20:4,,true,true,false,
+,1.183,524.27478,1525123.166,,,true,false,,
+,1.183,540.24744,607460.5266,,,false,false,,
+,1.183,544.57111,285257.4996,,,false,false,,
-,1.184,500.07532,154761.924,,,false,false,,
+,1.185,1003.57782,1.244735273E7,,,true,false,,
+,1.185,484.28168,621779.7867,,,false,false,,
+,1.185,330.27872,293687.6179,,,false,false,,
-,1.186,1043.61121,3548610.157,,,true,false,,
+,1.187,1045.62439,3259236.365,,,true,false,,
-,1.189,1544.89514,280512.16,,,false,false,,
-,1.19,598.2099,316791.2664,,,true,false,,
-,1.191,658.26837,211589.0932,,,false,false,,
+,1.192,502.49799,232098.0894,,,false,false,,
-,1.193,977.56403,405056.1582,,,true,false,,
-,1.194,586.27905,136481.3934,,,false,false,,
+,1.194,1083.57739,60690.04582,,,false,false,,
-,1.195,600.20398,6485448.924,,,true,false,,
-,1.195,1019.61072,263413.7132,,,false,false,,
-,1.195,1099.53723,71234.12272,,,false,false,,
+,1.195,1087.67139,7458083.429,,,true,false,,
+,1.195,979.57739,592802.7304,,,false,false,,
+,1.195,337.27316,610515.1781,,,false,false,,
+,1.195,1041.52722,127711.3806,,,false,false,,
+,1.196,502.07825,158534.4079,,,false,false,,
-,1.197,602.34668,1.218162023E7,LysoPC 20:4,,true,true,true,
-,1.198,476.27826,1960916.753,LysoPE 18:2,,true,true,true,
+,1.199,478.2926,2058433.789,LysoPE 18:2,,true,true,false,
+,1.2,526.32916,257952.2068,,,false,false,,
-,1.201,528.30981,1771309.708,,,true,false,,
-,1.201,576.20502,155368.6525,,,false,false,,
-,1.201,1586.94116,44005.49158,,,false,false,,
-,1.202,1039.5199,73704.45868,,,false,false,,
+,1.202,1021.62585,245677.8474,,,false,false,,
-,1.205,1145.67896,132198.1864,,,false,false,,
+,1.205,502.48975,88331.31672,,,false,false,,
+,1.212,602.39227,1124829.422,,,true,false,,
-,1.213,560.29913,578174.2288,,,true,false,,
-,1.213,559.30396,195455.632,,,false,false,,
-,1.216,578.34644,902245.1884,LysoPC 18:2,,true,true,true,
+,1.219,1063.67212,1002186.578,,,false,false,,
+,1.22,520.3399,7315979.34,LysoPC 18:2,,true,true,false,
+,1.22,566.32117,1710121.317,,,true,false,,
-,1.224,640.30066,71511.92785,,,false,false,,
+,1.225,582.29529,1127144.826,,,true,false,,
+,1.225,642.30963,122160.5749,,,false,false,,
-,1.227,1027.57959,1284859.476,,,true,false,,
-,1.227,339.19965,255324.3977,,,false,false,,
+,1.229,1029.59314,1758493.203,,,true,false,,
+,1.23,398.32596,748204.1118,AC 16:1,,true,true,false,
+,1.232,600.24811,60897.04824,,,false,false,,
-,1.239,1028.58325,435496.1661,,,true,false,,
-,1.24,488.27844,258953.2405,,,false,false,,
+,1.24,1071.64026,471744.2331,,,false,false,,
+,1.24,1113.68677,864937.9489,,,true,false,,
-,1.241,1069.6261,466652.3449,,,true,false,,
-,1.243,510.28323,256685.3794,,,false,false,,
+,1.244,578.39166,76158.38647,,,false,false,,
-,1.247,1125.5498,35509.87507,,,false,false,,
+,1.252,542.32385,198558.2149,,,false,false,,
-,1.254,587.31885,241125.5025,,,false,false,,
+,1.255,490.29272,227994.0409,,,false,false,,
+,1.255,1051.67188,112060.6753,,,false,false,,
-,1.256,1007.61285,23644.60472,,,false,false,,
-,1.257,473.28275,531685.6985,,,true,false,,
